Gene_ID Gene_name numAparitions
0 elo2Δ 36
1 shg1Δ 15
2 swd1Δ 144
3 apc11-13 50
4 get2Δ 86
5 swi4Δ 44
6 elp3Δ 16
7 npr3Δ 12
8 pex12Δ 49
9 qdr3Δ 17
10 lst8-6 29
11 ALG14-ph 143
12 DAD1-ph 79
13 GPI16-PH 142
14 GPI19-2 54
15 cog7Δ 41
16 hsl1Δ 167
17 cog6Δ 229
18 cog5Δ 307
19 alg6Δ 110
20 rud3Δ 219
21 atx2Δ 16
22 csf1Δ 47
23 ist2Δ 60
24 dlt1Δ 4
25 mus81Δ 61
26 rfc5-1 89
27 mrc1Δ 25
28 nse4-ts4 28
29 ckb1Δ 17
30 rtf1Δ 50
31 yta7Δ 22
32 pri1-M4 29
33 smc6-9 48
34 csm3Δ 16
35 ydj1Δ 75
36 top1Δ 17
37 ckb2Δ 27
38 dia2Δ 46
39 SPP381-ph 45
40 isy1Δ 67
41 mud2Δ 78
42 pml1Δ 2
43 sic1Δ 50
44 prm6Δ 2
45 scs7Δ 84
46 eaf7Δ 221
47 med4-6 31
48 esc2Δ 150
49 spo23Δ 16
50 tfc3-G349E 9
51 smt3-331 29
52 rrm3Δ 31
53 nse5-ts4 32
54 nam7Δ 24
55 ldb16Δ 61
56 rec102Δ 15
57 vps13Δ 19
58 asg7Δ 9
59 sac1Δ 68
60 sat4Δ 31
61 cdc47-ts 32
62 cdc7-4 108
63 rtt107Δ 56
64 mad1Δ 121
65 smc3-42 17
66 tsa1Δ 27
67 rad17Δ 35
68 gdi1-1 28
69 sec31-1 38
70 uso1-1 143
71 bre5Δ 57
72 trm3Δ 14
73 trs33Δ 9
74 trs85Δ 141
75 crd1Δ 115
76 dic1Δ 16
77 phb2Δ 40
78 mrpl39Δ 5
79 cop1-1 204
80 sec59-ts 81
81 swc3Δ 30
82 bph1Δ 12
83 hac1Δ 32
84 tip20-5 13
85 nnf2Δ 10
86 ice2Δ 59
87 vta1Δ 7
88 rce1Δ 24
89 tlg2Δ 38
90 YOL102C-PH 27
91 inp53Δ 16
92 kre5-ts2 119
93 ret3-1 19
94 bts1Δ 81
95 vps30Δ 18
96 ack1Δ 68
97 fps1Δ 9
98 mnt3Δ 5
99 ask1-3 74
100 ecm1Δ 20
101 emc6Δ 21
102 rpt1-1 71
103 vms1Δ 74
104 ski2Δ 11
105 rpn7-3 36
106 fin1Δ 48
107 hcm1Δ 23
108 ldb18Δ 225
109 rps24aΔ 47
110 boi2Δ 6
111 scs2Δ 13
112 rpl2aΔ 16
113 mes1-1 11
114 neo1-2 73
115 eaf6Δ 86
116 srp40Δ 6
